Rank,Article,Views,,
1,Ritika Singh,"33,480",,
2,Jake Olson (photographer),"28,122",,
3,Hotsandybeaches,"19,980",,
4,5054,"16,066",,
5,YFN Lucci,"13,620",,
6,Kick &,"13,436",,
7,Gamingnews,"12,312",,
8,Giveaway,"11,634",,
9,Enteainment,"10,916",,
10,Rstarcraft,"10,882",,
11,Grabtaxi,"10,752",,
12,Airpo,"10,388",,
13,Tulix,"10,298",,
14,Worldoftanks,"10,252",,
15,Laurina Fleure,"10,249",,
16,Rubber Duck (sculpture,"8,934",,
17,Prele,"8,773",,
18,Lwcf,"8,714",,
19,Indiedev,"8,222",,
20,Johnny Cinco,"8,174",,
21,Enviropassion,"8,109",,
22,Betabookings,"7,996",,
23,Marketresearch,"7,394",,
24,Staing,"7,304",,
25,Visually,"7,274",,
26,Heahstone,"7,241",,
27,Csgojackpot,"7,148",,
28,List of most viewed non Vevo videos on YouTube,"7,136",,
29,Viually,"7,130",,
30,Bo3,"7,101",,
31,Canadian Navy Board,"6,794",,
32,Violett Beane,"6,793",,
33,Bihday,"6,460",,
34,"Menlo-Atherton High SchoolAtherton, CaliforniaCaliforniaUnited ...","6,404",,
35,GradeAUnderA,"6,365",,
36,Ttot,"6,292",,
37,Summitville mine”,"6,254",,
38,Lets,"6,175",,
39,Unity3d,"6,129",,
40,Marketresearchrepos,"6,060",,
41,Incredibleindia,"5,674",,
42,Landsc,"5,672",,
43,Unarmed,"5,651",,
44,"Times Beach, Missouri”","5,547",,
45,Exide lead contamination”,"5,409",,
46,Grabtaxicarpoolingservice,"5,376",,
47,Royal Cambodi…,"5,129",,
48,Transpoation,"5,022",,
49,Codghosts,"5,016",,
50,Brainteasers,"4,985",,
51,Suppo,"4,908",,
52,Flint water crisis”,"4,899",,
53,Leagueoflegends,"4,771",,
54,Mohammed Abrar,"4,764",,
55,&gt&gt,"4,762",,
56,-&gt,"4,730",,
57,21 Savage,"4,727",,
58,Sri Sankara University,"4,697",,
59,&gt,"4,678",,
60,Dermpath,"4,658",,
61,Jacquelineoross,"4,652",,
62,Expandable,"4,528",,
63,Guessup!,"4,454",,
64,Resos,"4,310",,
65,Toby fox,"4,252",,
66,Toby fox (artist),"4,236",,
67,Csgogiveaway,"4,172",,
68,Photooftheday,"4,168",,
69,Fallout4,"4,157",,
70,UNDERTALE Soundtrack,"4,087",,
71,UNDERTALE Soundtrack (album),"4,076",,
72,Needed,"4,058",,
73,Thats,"3,923",,
74,Uploading and downloading,"3,851",,
75,Online!,"3,810",,
76,Todays,"3,714",,
77,Chaers,"3,672",,
78,Metalgearsolide,"3,649",,
79,Savebarnegatbay,"3,630",,
80,Sy Ari Da Kid,"3,537",,
81,Relaxinkeywest,"3,340",,
82,Moneybagg Yo,"3,268",,
82,Woodsandwater,"3,268",,
84,Rasna (actress),"3,223",,
85,Burke Ramsey,"3,011",,
86,Hot Boy Turk,"2,943",,
87,\&,"2,893",,
88,Estereograms,"2,826",,
89,Giveaway!,"2,822",,
90,Rsmite,"2,810",,
91,Freeapps,"2,750",,
92,Eleyinte,"2,734",,
93,Socialmedia,"2,729",,
94,Littoralguy,"2,710",,
95,The Unforgotten Path,"2,705",,
96,The Unforgotten Path (album),"2,693",,
97,Indiegame,"2,680",,
98,Frankfu,"2,676",,
99,Latest,"2,622",,
100,Gerda Gottlib,"2,616",,
100,Whats,,,
